Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2021,2021,kg/ha,1763.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2022,2022,kg/ha,2030.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2023,2023,kg/ha,2192.1,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,142,"Groundnuts, excluding shelled",2024,2024,kg/ha,2111.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2010,2010,kg/ha,2343.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2011,2011,kg/ha,2450.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2012,2012,kg/ha,2390,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2013,2013,kg/ha,2430,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2014,2014,kg/ha,2655.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2015,2015,kg/ha,2314.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2016,2016,kg/ha,2519.3,E,Estimated value,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2017,2017,kg/ha,2659.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2018,2018,kg/ha,2517.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2019,2019,kg/ha,2569.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2020,2020,kg/ha,2706.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2021,2021,kg/ha,2591.5,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2022,2022,kg/ha,2468.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2023,2023,kg/ha,2628,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1922.01,"Jute, raw or retted",2024,2024,kg/ha,2623,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2010,2010,kg/ha,697.3,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2011,2011,kg/ha,590.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2012,2012,kg/ha,677.8,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2013,2013,kg/ha,796.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2014,2014,kg/ha,758.4,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2015,2015,kg/ha,704.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2016,2016,kg/ha,764.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2017,2017,kg/ha,837.6,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2018,2018,kg/ha,1046.9,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2019,2019,kg/ha,901,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2020,2020,kg/ha,846.7,A,Official figure,
QCL,Crops and livestock products,100,India,5412,Yield,1704,"Lentils, dry",2021,2021,kg/ha,1017.4,A,Official figure,
